Name,Category,Link,Extra Link
US Jobs,US Labor,https://data.bls.gov/timeseries/CES0000000001,
US Labor Participation Rate,US Labor,https://data.bls.gov/timeseries/LNS11300000,
US Unemployment Rate,US Labor,https://data.bls.gov/timeseries/LNS14000000,
US Interest Rates,Economics,http://www.tradingeconomics.com/united-states/interest-rate,
Non-residential Investment,Economics,https://fred.stlouisfed.org/series/PNFIC1,
Big Mac Index,Economics,https://www.statista.com/statistics/274326/big-mac-index-global-prices-for-a-big-mac/,
US Profit Margins by Sector,Business,http://pages.stern.nyu.edu/~adamodar/New_Home_Page/datafile/margin.html,
Net Domestic Investment,Business,https://fred.stlouisfed.org/series/W790RC1Q027SBEA,
Oil Price,Energy,http://www.macrotrends.net/1369/crude-oil-price-history-chart,
CO2 Emissions,Energy,http://data.worldbank.org/indicator/EN.ATM.CO2E.PC,
US Natural Gas,Energy,https://www.eia.gov/dnav/ng/hist/n9140us2A.htm,
US Electricity Generation by source,Energy,"https://www.eia.gov/electricity/data/browser/#/topic/0?agg=2,0,1&fuel=vvg&geo=g&sec=g&linechart=ELEC.GEN.ALL-US-99.A&columnchart=ELEC.GEN.ALL-US-99.A&map=ELEC.GEN.ALL-US-99.A&freq=A&ctype=linechart&ltype=pin&rtype=s&maptype=0&rse=0&pin=",
Number of Nuclear Reactors by Country,Energy,https://www.iaea.org/PRIS/WorldStatistics/OperationalReactorsByCountry.aspx,
Everything about Oil and Natural Gas,Energy,https://www.jodidata.org/oil/database/data-downloads.aspx,
Health Insurance Coverage,Health Care,https://www.cdc.gov/nchs/nhis/releases.htm#health_insurance_coverage,https://docs.google.com/spreadsheets/d/1MvxRJgy0OV51QrPJBqClvfZmux3SZLmj_kOzB2q4JzU
Health Care Spending Over Time,Health Care,http://www.healthcostinstitute.org,
Medicaid Enrollees over time,Health Care,https://www.statista.com/statistics/245347/total-medicaid-enrollment-since-1966,
HSA Assets over time,Health Care,http://www.devenir.com/health-savings-account-assets-see-another-period-20-percent-growth-exceeding-34-billion/,
Procedure Costs (data from HCCI),Health Care,https://www.guroo.com,
Deportations in the US,Immigration,https://www.ice.gov/removal-statistics/2016,
Debt to GDP ratio by country,Output and Debt,http://www.tradingeconomics.com/country-list/government-debt-to-gdp,
Income distribution in the US,Income and Wealth,https://dqydj.com/income-percentile-calculator/,
Net worth distribution in the US,Income and Wealth,https://dqydj.com/net-worth-in-the-united-states-zooming-in-on-the-top-centiles/,
Gini index by country,Income and Wealth,https://www.cia.gov/library/publications/the-world-factbook/rankorder/2172rank.html,
Homeownership Rate in the US,Income and Wealth,https://fred.stlouisfed.org/series/RHORUSQ156N,
Graduation Rates,Education,http://oedb.org/rankings/graduation-rate,
Chicago Temperatures,Climate and Weather,https://www.wunderground.com/history/airport/KORD/2013/1/28/MonthlyHistory.html,
State of the News Media,Journalism,http://www.journalism.org/2016/06/15/newspapers-fact-sheet,
Car Sales,Automotive,http://carsalesbase.com,
Automated Driving,Automotive,https://www.dmv.ca.gov/portal/dmv/detail/vr/autonomous/disengagement_report_2017,
