Period,Total CO2 Emissions (MMT)
1973,1286.352
1974,1250.643
1975,1243.815
1976,1351.184
1977,1442.126
1978,1447.657
1979,1505.248
1980,1543.716
1981,1551.165
1982,1480.798
1983,1520.759
1984,1588.338
1985,1619.313
1986,1613.31
1987,1680.237
1988,1757.531
1989,1825.6
1990,1831.049
1991,1829.607
1992,1843.45
1993,1919.112
1994,1943.879
1995,1960.05
1996,2033.261
1997,2101.401
1998,2191.79
1999,2204.426
2000,2310.2
2001,2272.684
2002,2288.073
2003,2319.234
2004,2350.386
2005,2415.605
2006,2358.357
2007,2424.968
2008,2372.9
2009,2157.901
2010,2270.327
2011,2169.731
2012,2034.367
2013,2049.895
2014,2049.902
2015,1912.585
2016,1820.583
